Giro empresa,Empresa Exportadora,País destino,Producto
ALIMENTO PARA ANIMALES,MALTA TEXO DE MÉXICO S.A DE C.V (MORELOS),CUBA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,MALTA TEXO DE MÉXICO S.A DE C.V (JALISCO),CUBA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ PURINA S.A DE C.V (SILAO),CUBA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ PURINA S.A DE C.V (CUAUTITLÁN),CUBA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,CAMPI ALIMENTOS S.A. DE C.V. (EZEQUIEL),CUBA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,CAMPI ALIMENTOS S.A. DE C.V. (MERIDA),CUBA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"DSM NUTRITIONAL PRODUCTS MÉXICO, S.A. DE C.V.",CUBA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EURO-NUTEC PREMIX, S.A. DE C.V.",CUBA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"INDUSTRIAS PETROTEC DE MÉXICO, S.A. DE C.V.",CUBA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NUEVA TECNOLOGÍA EN ALIMENTACIÓN S.A. DE C.V. (GALERAS),CUBA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NUEVA TECNOLOGÍA EN ALIMENTACIÓN S.A. DE C.V. (FUENTES),CUBA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,PRONUA S.A. DE C.V.,CUBA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"VIMIFOS, S.A. DE C.V.",CUBA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NUEVA TECNOLOGÍA EN ALIMENTACIÓN S.A. DE C.V. (FUENTES),EL SALVADOR ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NUEVA TECNOLOGÍA EN ALIMENTACIÓN S.A. DE C.V. (GALERAS),EL SALVADOR ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EURONUTEC PREMIX, S.A. DE C.V.",EL SALVADOR ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ PURINA S.A DE C.V (CUAUTITLÁN),EL SALVADOR ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ PURINA S.A DE C.V (SILAO),EL SALVADOR ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EFFEM MÉXICO, INC Y COMPAÑÍA S. EN N.C. DE C.V. (QUERÉTARO)",EL SALVADOR ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EFFEM MÉXICO, INC Y COMPAÑÍA S. EN N.C. DE C.V. (JALISCO)",EL SALVADOR ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"NOREL MÉXICO, S.A. DE C.V.",EL SALVADOR ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"VIMIFOS, S.A. DE C.V. PLANTA 1",EL SALVADOR ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"VIMIFOS, S.A. DE C.V. PLANTA 2",EL SALVADOR ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"VIMIFOS, S.A. DE C.V. PLANTA 3",EL SALVADOR ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"MALTA TEXO DE MÉXICO, S.A. DE C.V. (MORELOS)",EL SALVADOR ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EFFEM MÉXICO, INC Y COMPAÑÍA S. EN N.C. DE C.V. (QUÉRETARO)",GUATEMALA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EFFEM MÉXICO, INC Y COMPAÑÍA S. EN N.C. DE C.V. (JALISCO)",GUATEMALA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,MALTA TEXO DE MÉXICO S.A DE C.V (MORELOS),GUATEMALA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ PURINA S.A DE C.V (CUAUTITLÁN),GUATEMALA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ PURINA S.A DE C.V (SILAO),GUATEMALA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,MULTISERVICIOS 2001 S.A. DE C.V. ,GUATEMALA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NUEVA TECNOLOGÍA EN ALIMENTACIÓN S.A. DE C.V. (FUENTES),GUATEMALA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NUEVA TECNOLOGÍA EN ALIMENTACIÓN S.A. DE C.V. (GALERAS),GUATEMALA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EURO-NUTEC PREMIX, S.A. DE C.V.",GUATEMALA ,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"EURO-NUTEC PREMIX, S.A. DE C.V.",HONDURAS,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ MÉXICO S.A. DE C.V. (PURINA-CUAUTITLÁN),HONDURAS,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,NESTLÉ MÉXICO S.A. DE C.V. (PURINA-SILAO),HONDURAS,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"NUEVA TECNOLOGÍA EN ALIMENTACIÓN, S.A. de C.V.  (FUENTES)",HONDURAS,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"NUEVA TECNOLOGÍA EN ALIMENTACIÓN, S.A. de C.V. (GALERAS)",HONDURAS,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"MALTA TEXO DE MÉXICO, S.A. DE C.V. - GRUPO ADM (TEXCOCO)",HONDURAS,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"MALTA TEXO DE MÉXICO, S.A. DE C.V. - GRUPO ADM (BAJÍO)",HONDURAS,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"MALTA TEXO DE MÉXICO, S.A. DE C.V. - GRUPO ADM (MÉRIDA)",HONDURAS,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"MALTA TEXO DE MÉXICO, S.A. DE C.V.  - GRUPO ADM(TLAXCALA)",HONDURAS,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,MALTA TEXO DE MÉXICO S.A DE C.V - GRUPO ADM (PLANTA – JALISCO),HONDURAS,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,MALTA TEXO DE MÉXICO S.A DE C.V. - GRUPO ADM (PLANTA – MORELOS),HONDURAS,ALIMENTO PARA CONSUMO ANIMAL
ALIMENTO PARA ANIMALES,"VIMIFOS, S.A. DE C.V. PLANTA 1",HONDURAS,ALIMENTO PARA CONSUMO ANIMAL
