Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Sun Rise Centro Papelero Sun Rise On Line,"Jesús María 129, Centro Histórico de la Cdad. de México, Centro, Cuauhtémoc, 06090 Ciudad de México, CDMX",56 2482 0140,19.4271096,-99.128779,mercadoshops.com.mx,NULL,9 reseñas,"4,1",Tienda de material escolar
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Tecnoláminas S.A. de C.V.,"Independencia, 53830 Naucalpan de Juárez, Méx.",55 5359 6616,19.435051,-99.248676,NULL,NULL,2 reseñas,"3,0",Taller de automóviles
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
INTEGRADORA COMERCIAL VS SA DE CV,"Pedro Guzman 17 T8-604, COL. Lomas De San Lorenzo, 52975 Cd López Mateos, Méx.",55 4612 5001,19.5486779,-99.2300013,NULL,NULL,4 reseñas,"5,0",Mayorista textil
TPS Container,"Pte 150 764-860, Industrial Vallejo, Azcapotzalco, 02300 Ciudad de México, CDMX",55 5368 3915 ext. 2022,19.5047315,-99.1669485,tpscontainer.com.mx,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ARESA S.A DE C.V.,"Eje 3 Sur (Añil) 465-Local 5, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX",55 5037 0660,19.4029498,-99.1005014,NULL,NULL,,,Empresa
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"Perfiherrajes Immsa, S.A. de C.V.","Cafetal 241, Granjas México, Iztacalco, 08400 Ciudad de México, CDMX",55 5648 6360,19.39967,-99.1051042,phimmsa.com.mx,NULL,7 reseñas,"4,6",Proveedor de materiales de construcción
NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
